Catégorie,Date de commande,Segment,Objectif de vente
Fournitures de bureau,18-03-2014,Entreprise,196
Fournitures de bureau,19-03-2014,Entreprise,325
Fournitures de bureau,19-03-2014,Grand public,1340
Mobilier,19-03-2014,Grand public,322
Produits technologiques,19-03-2014,Grand public,836
Fournitures de bureau,20-03-2014,Grand public,4372
Fournitures de bureau,21-03-2014,Grand public,266
Mobilier,21-03-2014,Grand public,614
Fournitures de bureau,22-03-2014,Entreprise individuelle,201
Produits technologiques,22-03-2014,Entreprise individuelle,91
Produits technologiques,22-03-2014,Grand public,567
Fournitures de bureau,23-03-2014,Grand public,259
Mobilier,23-03-2014,Grand public,1242
Produits technologiques,23-03-2014,Grand public,928
Fournitures de bureau,25-03-2014,Entreprise,163
Fournitures de bureau,25-03-2014,Grand public,111
Fournitures de bureau,26-03-2014,Entreprise,89
Fournitures de bureau,26-03-2014,Grand public,330
Mobilier,26-03-2014,Grand public,307
Produits technologiques,26-03-2014,Grand public,65
Fournitures de bureau,27-03-2014,Entreprise,14
Mobilier,27-03-2014,Entreprise,494
Fournitures de bureau,28-03-2014,Entreprise,580
Produits technologiques,28-03-2014,Entreprise,450
Fournitures de bureau,29-03-2014,Entreprise,461
Mobilier,29-03-2014,Entreprise,400
Produits technologiques,29-03-2014,Entreprise,538
Fournitures de bureau,30-03-2014,Entreprise individuelle,51
Fournitures de bureau,31-03-2014,Grand public,310
Fournitures de bureau,02-04-2014,Entreprise,4575
Fournitures de bureau,02-04-2014,Entreprise individuelle,98
Fournitures de bureau,02-04-2014,Grand public,57
Mobilier,02-04-2014,Entreprise,322
Mobilier,02-04-2014,Grand public,440
Produits technologiques,02-04-2014,Grand public,1141
Fournitures de bureau,03-04-2014,Grand public,187
Produits technologiques,03-04-2014,Entreprise,533
Fournitures de bureau,04-04-2014,Entreprise,39
Fournitures de bureau,04-04-2014,Entreprise individuelle,58
Produits technologiques,04-04-2014,Entreprise,615
Produits technologiques,04-04-2014,Entreprise individuelle,492
Produits technologiques,04-04-2014,Grand public,259
Fournitures de bureau,05-04-2014,Entreprise,86
Fournitures de bureau,05-04-2014,Grand public,286
Mobilier,05-04-2014,Entreprise,340
Mobilier,05-04-2014,Grand public,36
Produits technologiques,05-04-2014,Entreprise,1177
Produits technologiques,05-04-2014,Grand public,1812
Mobilier,06-04-2014,Entreprise individuelle,260
Fournitures de bureau,07-04-2014,Entreprise,568
Fournitures de bureau,08-04-2014,Entreprise,25
Fournitures de bureau,08-04-2014,Entreprise individuelle,175
Mobilier,08-04-2014,Grand public,680
Produits technologiques,08-04-2014,Entreprise,482
Fournitures de bureau,09-04-2014,Entreprise,209
Fournitures de bureau,09-04-2014,Grand public,79
Produits technologiques,09-04-2014,Grand public,961
Fournitures de bureau,10-04-2014,Entreprise,272
Mobilier,10-04-2014,Grand public,907
Fournitures de bureau,11-04-2014,Entreprise individuelle,23
Fournitures de bureau,11-04-2014,Grand public,687
Produits technologiques,11-04-2014,Entreprise individuelle,345
Fournitures de bureau,13-04-2014,Entreprise individuelle,352
Fournitures de bureau,15-04-2014,Entreprise,87
Fournitures de bureau,15-04-2014,Grand public,355
Mobilier,15-04-2014,Entreprise,516
Produits technologiques,15-04-2014,Entreprise,312
Produits technologiques,15-04-2014,Entreprise individuelle,138
Fournitures de bureau,16-04-2014,Entreprise,231
Fournitures de bureau,16-04-2014,Entreprise individuelle,9
Fournitures de bureau,16-04-2014,Grand public,45
Mobilier,16-04-2014,Entreprise,128
Produits technologiques,16-04-2014,Entreprise,43
Produits technologiques,16-04-2014,Entreprise individuelle,162
Produits technologiques,16-04-2014,Grand public,792
Fournitures de bureau,18-04-2014,Entreprise,133
Fournitures de bureau,18-04-2014,Grand public,73
Mobilier,18-04-2014,Entreprise,771
Produits technologiques,18-04-2014,Entreprise,67
Fournitures de bureau,19-04-2014,Entreprise,39
Fournitures de bureau,20-04-2014,Entreprise individuelle,849
Mobilier,20-04-2014,Entreprise individuelle,141
Produits technologiques,20-04-2014,Entreprise individuelle,500
Mobilier,22-04-2014,Grand public,602
Fournitures de bureau,23-04-2014,Entreprise,208
Produits technologiques,23-04-2014,Entreprise,207
Fournitures de bureau,24-04-2014,Grand public,36
Fournitures de bureau,25-04-2014,Entreprise,379
Fournitures de bureau,25-04-2014,Grand public,1407
Produits technologiques,25-04-2014,Grand public,844
Fournitures de bureau,26-04-2014,Grand public,385
Mobilier,27-04-2014,Grand public,1106
Fournitures de bureau,29-04-2014,Entreprise,161
Fournitures de bureau,29-04-2014,Grand public,89
Produits technologiques,29-04-2014,Grand public,423
Fournitures de bureau,30-04-2014,Grand public,80
Mobilier,30-04-2014,Grand public,962
Produits technologiques,30-04-2014,Entreprise,2220
Produits technologiques,30-04-2014,Grand public,1132
Fournitures de bureau,01-05-2014,Entreprise,24
Fournitures de bureau,01-05-2014,Grand public,1394
Fournitures de bureau,02-05-2014,Entreprise,148
Fournitures de bureau,02-05-2014,Grand public,134
Mobilier,02-05-2014,Entreprise,79
Produits technologiques,02-05-2014,Grand public,313
Fournitures de bureau,03-05-2014,Entreprise,157
Fournitures de bureau,03-05-2014,Entreprise individuelle,174
Fournitures de bureau,03-05-2014,Grand public,8
Fournitures de bureau,04-05-2014,Grand public,763
Fournitures de bureau,05-05-2014,Entreprise,127
Fournitures de bureau,06-05-2014,Entreprise,30
Fournitures de bureau,06-05-2014,Entreprise individuelle,229
Fournitures de bureau,06-05-2014,Grand public,552
Mobilier,06-05-2014,Grand public,581
Produits technologiques,06-05-2014,Entreprise individuelle,346
Fournitures de bureau,07-05-2014,Entreprise individuelle,193
Fournitures de bureau,07-05-2014,Grand public,174
Fournitures de bureau,08-05-2014,Entreprise,251
Fournitures de bureau,08-05-2014,Grand public,469
Mobilier,08-05-2014,Grand public,353
Produits technologiques,08-05-2014,Entreprise,472
Produits technologiques,08-05-2014,Grand public,110
Fournitures de bureau,09-05-2014,Entreprise,84
Mobilier,09-05-2014,Entreprise,164
Mobilier,09-05-2014,Grand public,229
Produits technologiques,09-05-2014,Grand public,58
Fournitures de bureau,10-05-2014,Entreprise,266
Fournitures de bureau,10-05-2014,Entreprise individuelle,167
Fournitures de bureau,10-05-2014,Grand public,151
Mobilier,10-05-2014,Grand public,126
Produits technologiques,10-05-2014,Grand public,2017
Mobilier,11-05-2014,Entreprise,138
Produits technologiques,11-05-2014,Entreprise,251
Fournitures de bureau,12-05-2014,Entreprise individuelle,140
Fournitures de bureau,12-05-2014,Grand public,87
Fournitures de bureau,13-05-2014,Entreprise,264
Fournitures de bureau,13-05-2014,Grand public,698
Fournitures de bureau,14-05-2014,Entreprise individuelle,19
Fournitures de bureau,14-05-2014,Grand public,743
Mobilier,14-05-2014,Entreprise,796
Produits technologiques,14-05-2014,Entreprise,2765
Fournitures de bureau,15-05-2014,Entreprise,124
Fournitures de bureau,15-05-2014,Grand public,641
Produits technologiques,15-05-2014,Entreprise,636
Produits technologiques,15-05-2014,Entreprise individuelle,145
Fournitures de bureau,16-05-2014,Entreprise,22
Fournitures de bureau,16-05-2014,Grand public,761
Mobilier,16-05-2014,Entreprise,887
Mobilier,16-05-2014,Grand public,675
Produits technologiques,16-05-2014,Grand public,4958
Fournitures de bureau,17-05-2014,Entreprise,148
Fournitures de bureau,17-05-2014,Grand public,37
Mobilier,17-05-2014,Entreprise,39
Produits technologiques,17-05-2014,Grand public,322
Fournitures de bureau,18-05-2014,Grand public,507
Produits technologiques,18-05-2014,Entreprise individuelle,265
Produits technologiques,18-05-2014,Grand public,118
Fournitures de bureau,20-05-2014,Entreprise individuelle,269
Fournitures de bureau,21-05-2014,Entreprise,99
Fournitures de bureau,21-05-2014,Grand public,91
Mobilier,21-05-2014,Grand public,230
Fournitures de bureau,22-05-2014,Entreprise,194
Fournitures de bureau,22-05-2014,Grand public,866
Mobilier,22-05-2014,Entreprise,629
Produits technologiques,22-05-2014,Entreprise,920
Produits technologiques,22-05-2014,Grand public,59
Mobilier,23-05-2014,Grand public,258
Fournitures de bureau,24-05-2014,Grand public,1244
Produits technologiques,24-05-2014,Entreprise individuelle,573
Mobilier,25-05-2014,Entreprise individuelle,1518
Fournitures de bureau,27-05-2014,Entreprise,264
Fournitures de bureau,27-05-2014,Grand public,133
Produits technologiques,27-05-2014,Entreprise,914
Produits technologiques,27-05-2014,Grand public,431
Fournitures de bureau,28-05-2014,Entreprise,122
Fournitures de bureau,28-05-2014,Grand public,408
Mobilier,28-05-2014,Grand public,1642
Produits technologiques,28-05-2014,Grand public,2227
Fournitures de bureau,29-05-2014,Entreprise individuelle,107
Produits technologiques,29-05-2014,Grand public,361
Fournitures de bureau,30-05-2014,Entreprise,1716
Fournitures de bureau,30-05-2014,Entreprise individuelle,696
Fournitures de bureau,30-05-2014,Grand public,549
Mobilier,30-05-2014,Grand public,138
Produits technologiques,30-05-2014,Entreprise,2575
Produits technologiques,30-05-2014,Entreprise individuelle,1762
Produits technologiques,30-05-2014,Grand public,2722
Fournitures de bureau,31-05-2014,Entreprise,74
Fournitures de bureau,31-05-2014,Grand public,306
Mobilier,31-05-2014,Grand public,865
Produits technologiques,31-05-2014,Grand public,281
Fournitures de bureau,01-06-2014,Entreprise,307
Fournitures de bureau,01-06-2014,Grand public,135
Produits technologiques,01-06-2014,Entreprise,664
Fournitures de bureau,02-06-2014,Entreprise,140
Fournitures de bureau,02-06-2014,Grand public,213
Produits technologiques,02-06-2014,Grand public,930
Fournitures de bureau,03-06-2014,Entreprise,3171
Fournitures de bureau,03-06-2014,Entreprise individuelle,357
Mobilier,03-06-2014,Grand public,105
Produits technologiques,03-06-2014,Entreprise,407
Fournitures de bureau,04-06-2014,Entreprise,932
Fournitures de bureau,04-06-2014,Entreprise individuelle,461
Mobilier,04-06-2014,Entreprise,121
Mobilier,04-06-2014,Entreprise individuelle,210
Produits technologiques,04-06-2014,Entreprise,6986
Produits technologiques,04-06-2014,Entreprise individuelle,2982
Fournitures de bureau,05-06-2014,Entreprise,266
Fournitures de bureau,05-06-2014,Entreprise individuelle,117
Fournitures de bureau,05-06-2014,Grand public,132
Mobilier,05-06-2014,Entreprise individuelle,79
Produits technologiques,05-06-2014,Entreprise,652
Fournitures de bureau,06-06-2014,Entreprise individuelle,50
Fournitures de bureau,06-06-2014,Grand public,91
Mobilier,06-06-2014,Entreprise,896
Produits technologiques,06-06-2014,Grand public,336
Fournitures de bureau,07-06-2014,Entreprise,163
Fournitures de bureau,07-06-2014,Entreprise individuelle,157
Fournitures de bureau,07-06-2014,Grand public,357
Produits technologiques,07-06-2014,Entreprise individuelle,168
Produits technologiques,07-06-2014,Grand public,267
Fournitures de bureau,08-06-2014,Entreprise individuelle,36
Fournitures de bureau,08-06-2014,Grand public,683
Mobilier,08-06-2014,Grand public,1443
Produits technologiques,08-06-2014,Grand public,900
Fournitures de bureau,09-06-2014,Grand public,39
Mobilier,09-06-2014,Grand public,251
Fournitures de bureau,10-06-2014,Entreprise,3253
Fournitures de bureau,10-06-2014,Grand public,567
Mobilier,10-06-2014,Grand public,234
Produits technologiques,10-06-2014,Grand public,2382
Fournitures de bureau,11-06-2014,Entreprise individuelle,120
Fournitures de bureau,11-06-2014,Grand public,1212
Mobilier,11-06-2014,Grand public,362
Produits technologiques,11-06-2014,Grand public,1736
Fournitures de bureau,12-06-2014,Entreprise,21
Fournitures de bureau,12-06-2014,Grand public,786
Mobilier,12-06-2014,Entreprise,77
Mobilier,12-06-2014,Grand public,507
Produits technologiques,12-06-2014,Grand public,644
Fournitures de bureau,13-06-2014,Entreprise,1060
Fournitures de bureau,13-06-2014,Entreprise individuelle,247
Fournitures de bureau,13-06-2014,Grand public,1542
Mobilier,13-06-2014,Entreprise,394
Mobilier,13-06-2014,Grand public,1007
Produits technologiques,13-06-2014,Entreprise,159
Produits technologiques,13-06-2014,Grand public,390
Fournitures de bureau,14-06-2014,Entreprise individuelle,874
Fournitures de bureau,14-06-2014,Grand public,274
Mobilier,14-06-2014,Grand public,1243
Produits technologiques,14-06-2014,Entreprise,1630
Produits technologiques,14-06-2014,Entreprise individuelle,3123
Produits technologiques,14-06-2014,Grand public,336
Fournitures de bureau,15-06-2014,Entreprise,418
Fournitures de bureau,15-06-2014,Grand public,1403
Mobilier,15-06-2014,Entreprise,373
Produits technologiques,15-06-2014,Entreprise,1136
Produits technologiques,15-06-2014,Grand public,1196
Fournitures de bureau,17-06-2014,Entreprise,250
Fournitures de bureau,17-06-2014,Entreprise individuelle,164
Fournitures de bureau,17-06-2014,Grand public,335
Mobilier,17-06-2014,Entreprise,320
Mobilier,17-06-2014,Grand public,1738
Produits technologiques,17-06-2014,Entreprise,616
Produits technologiques,17-06-2014,Entreprise individuelle,1980
Produits technologiques,17-06-2014,Grand public,1681
Fournitures de bureau,18-06-2014,Entreprise,50
Fournitures de bureau,18-06-2014,Grand public,345
Mobilier,18-06-2014,Grand public,485
Produits technologiques,18-06-2014,Entreprise individuelle,576
Produits technologiques,18-06-2014,Grand public,2983
Fournitures de bureau,19-06-2014,Grand public,128
Mobilier,19-06-2014,Grand public,1094
Produits technologiques,19-06-2014,Entreprise,616
Produits technologiques,19-06-2014,Grand public,75
Fournitures de bureau,20-06-2014,Grand public,178
Fournitures de bureau,21-06-2014,Entreprise,55
Fournitures de bureau,21-06-2014,Grand public,386
Mobilier,21-06-2014,Grand public,2205
Produits technologiques,21-06-2014,Grand public,371
Produits technologiques,22-06-2014,Grand public,367
Fournitures de bureau,23-06-2014,Grand public,119
Mobilier,23-06-2014,Grand public,417
Produits technologiques,23-06-2014,Grand public,2311
Fournitures de bureau,24-06-2014,Entreprise,516
Fournitures de bureau,24-06-2014,Grand public,26
Mobilier,24-06-2014,Entreprise,244
Produits technologiques,24-06-2014,Entreprise,3593
Fournitures de bureau,25-06-2014,Entreprise,674
Fournitures de bureau,25-06-2014,Entreprise individuelle,104
Fournitures de bureau,25-06-2014,Grand public,91
Mobilier,25-06-2014,Entreprise,620
Fournitures de bureau,26-06-2014,Entreprise,212
Fournitures de bureau,26-06-2014,Grand public,707
Mobilier,26-06-2014,Entreprise,297
Mobilier,26-06-2014,Grand public,1643
Produits technologiques,26-06-2014,Grand public,268
Fournitures de bureau,27-06-2014,Entreprise,178
Fournitures de bureau,27-06-2014,Grand public,49
Mobilier,27-06-2014,Entreprise,210
Mobilier,27-06-2014,Grand public,2376
Produits technologiques,27-06-2014,Entreprise,471
Produits technologiques,27-06-2014,Grand public,331
Fournitures de bureau,28-06-2014,Entreprise,1733
Fournitures de bureau,28-06-2014,Entreprise individuelle,2360
Fournitures de bureau,28-06-2014,Grand public,422
Mobilier,28-06-2014,Entreprise individuelle,503
Mobilier,28-06-2014,Grand public,380
Produits technologiques,28-06-2014,Entreprise,2052
Produits technologiques,28-06-2014,Grand public,284
Fournitures de bureau,29-06-2014,Entreprise individuelle,40
Fournitures de bureau,29-06-2014,Grand public,523
Mobilier,29-06-2014,Entreprise individuelle,336
Mobilier,29-06-2014,Grand public,1640
Produits technologiques,29-06-2014,Grand public,720
Fournitures de bureau,01-07-2014,Grand public,217
Produits technologiques,01-07-2014,Grand public,1012
Fournitures de bureau,02-07-2014,Entreprise,693
Fournitures de bureau,02-07-2014,Entreprise individuelle,54
Mobilier,02-07-2014,Entreprise,1087
Mobilier,02-07-2014,Grand public,725
Produits technologiques,02-07-2014,Entreprise,1465
Fournitures de bureau,03-07-2014,Entreprise,2095
Fournitures de bureau,03-07-2014,Grand public,258
Produits technologiques,03-07-2014,Entreprise,1604
Produits technologiques,03-07-2014,Grand public,17
Fournitures de bureau,04-07-2014,Entreprise,74
Mobilier,04-07-2014,Entreprise,113
Produits technologiques,04-07-2014,Entreprise individuelle,1904
Fournitures de bureau,05-07-2014,Entreprise individuelle,69
Fournitures de bureau,06-07-2014,Grand public,164
Mobilier,06-07-2014,Entreprise,339
Produits technologiques,06-07-2014,Entreprise,447
Produits technologiques,06-07-2014,Grand public,436
Fournitures de bureau,08-07-2014,Entreprise individuelle,346
Fournitures de bureau,08-07-2014,Grand public,4000
Mobilier,08-07-2014,Grand public,189
Produits technologiques,08-07-2014,Grand public,3651
Fournitures de bureau,09-07-2014,Entreprise,265
Fournitures de bureau,09-07-2014,Entreprise individuelle,106
Fournitures de bureau,09-07-2014,Grand public,58
Mobilier,09-07-2014,Grand public,273
Produits technologiques,09-07-2014,Entreprise,849
Fournitures de bureau,10-07-2014,Entreprise,6
Fournitures de bureau,11-07-2014,Entreprise,837
Fournitures de bureau,11-07-2014,Entreprise individuelle,44
Mobilier,11-07-2014,Entreprise,389
Mobilier,11-07-2014,Grand public,239
Produits technologiques,11-07-2014,Entreprise,741
Produits technologiques,11-07-2014,Entreprise individuelle,449
Produits technologiques,11-07-2014,Grand public,1453
Fournitures de bureau,12-07-2014,Entreprise individuelle,1579
Mobilier,12-07-2014,Entreprise,122
Produits technologiques,12-07-2014,Entreprise individuelle,1112
Mobilier,13-07-2014,Entreprise,47
Fournitures de bureau,14-07-2014,Entreprise,162
Fournitures de bureau,14-07-2014,Grand public,183
Mobilier,14-07-2014,Entreprise,694
Fournitures de bureau,15-07-2014,Entreprise,281
Fournitures de bureau,15-07-2014,Entreprise individuelle,1266
Fournitures de bureau,15-07-2014,Grand public,93
Mobilier,15-07-2014,Entreprise,18
Mobilier,15-07-2014,Entreprise individuelle,157
Mobilier,15-07-2014,Grand public,2781
Produits technologiques,15-07-2014,Entreprise individuelle,1398
Fournitures de bureau,16-07-2014,Entreprise,218
Fournitures de bureau,17-07-2014,Entreprise individuelle,190
Mobilier,17-07-2014,Entreprise individuelle,226
Fournitures de bureau,18-07-2014,Grand public,51
Produits technologiques,18-07-2014,Grand public,963
Fournitures de bureau,19-07-2014,Entreprise,218
Fournitures de bureau,20-07-2014,Grand public,554
Mobilier,20-07-2014,Grand public,1129
Produits technologiques,20-07-2014,Grand public,1059
Fournitures de bureau,22-07-2014,Entreprise,433
Fournitures de bureau,22-07-2014,Grand public,409
Produits technologiques,22-07-2014,Grand public,3196
Fournitures de bureau,23-07-2014,Entreprise,11
Fournitures de bureau,23-07-2014,Entreprise individuelle,1170
Fournitures de bureau,23-07-2014,Grand public,88
Produits technologiques,23-07-2014,Grand public,216
Fournitures de bureau,24-07-2014,Entreprise,115
Fournitures de bureau,24-07-2014,Grand public,618
Mobilier,24-07-2014,Entreprise,323
Fournitures de bureau,25-07-2014,Entreprise,159
Fournitures de bureau,25-07-2014,Entreprise individuelle,382
Fournitures de bureau,25-07-2014,Grand public,93
Mobilier,25-07-2014,Entreprise individuelle,3463
Mobilier,25-07-2014,Grand public,670
Produits technologiques,25-07-2014,Entreprise,233
Produits technologiques,25-07-2014,Entreprise individuelle,426
Produits technologiques,25-07-2014,Grand public,294
Fournitures de bureau,26-07-2014,Entreprise,68
Mobilier,26-07-2014,Entreprise,856
Produits technologiques,26-07-2014,Entreprise,175
Fournitures de bureau,29-07-2014,Grand public,108
Mobilier,29-07-2014,Grand public,753
Fournitures de bureau,30-07-2014,Entreprise,124
Fournitures de bureau,30-07-2014,Grand public,82
Produits technologiques,30-07-2014,Entreprise,695
Fournitures de bureau,31-07-2014,Grand public,45
Mobilier,31-07-2014,Grand public,73
Produits technologiques,31-07-2014,Grand public,473
Fournitures de bureau,01-08-2014,Entreprise,519
Fournitures de bureau,01-08-2014,Grand public,179
Mobilier,01-08-2014,Entreprise,2035
Mobilier,01-08-2014,Grand public,429
Produits technologiques,01-08-2014,Entreprise individuelle,599
Produits technologiques,01-08-2014,Grand public,1489
Fournitures de bureau,02-08-2014,Entreprise,32
Fournitures de bureau,02-08-2014,Entreprise individuelle,39
Fournitures de bureau,02-08-2014,Grand public,43
Produits technologiques,02-08-2014,Grand public,343
Produits technologiques,03-08-2014,Entreprise,1343
Mobilier,04-08-2014,Entreprise individuelle,41
Fournitures de bureau,05-08-2014,Entreprise,109
Fournitures de bureau,05-08-2014,Entreprise individuelle,520
Fournitures de bureau,05-08-2014,Grand public,660
Mobilier,05-08-2014,Grand public,1277
Produits technologiques,05-08-2014,Entreprise individuelle,20
Fournitures de bureau,06-08-2014,Entreprise,335
Fournitures de bureau,06-08-2014,Entreprise individuelle,216
Fournitures de bureau,06-08-2014,Grand public,1468
Mobilier,06-08-2014,Grand public,23
Produits technologiques,06-08-2014,Entreprise individuelle,1086
Produits technologiques,06-08-2014,Grand public,124
Fournitures de bureau,07-08-2014,Entreprise,1951
Fournitures de bureau,07-08-2014,Entreprise individuelle,163
Fournitures de bureau,07-08-2014,Grand public,524
Mobilier,07-08-2014,Entreprise,86
Produits technologiques,07-08-2014,Entreprise,245
Produits technologiques,07-08-2014,Entreprise individuelle,395
Fournitures de bureau,08-08-2014,Entreprise,287
Fournitures de bureau,08-08-2014,Grand public,534
Mobilier,08-08-2014,Entreprise,1390
Fournitures de bureau,09-08-2014,Entreprise,353
Fournitures de bureau,09-08-2014,Entreprise individuelle,246
Fournitures de bureau,09-08-2014,Grand public,169
Mobilier,09-08-2014,Entreprise,359
Mobilier,09-08-2014,Entreprise individuelle,470
Mobilier,09-08-2014,Grand public,46
Produits technologiques,09-08-2014,Grand public,1242
Fournitures de bureau,10-08-2014,Entreprise,944
Fournitures de bureau,10-08-2014,Grand public,64
Mobilier,10-08-2014,Grand public,645
Produits technologiques,10-08-2014,Entreprise,1205
Fournitures de bureau,11-08-2014,Entreprise,333
Fournitures de bureau,11-08-2014,Entreprise individuelle,180
Produits technologiques,11-08-2014,Entreprise individuelle,363
Fournitures de bureau,12-08-2014,Entreprise,59
Fournitures de bureau,12-08-2014,Entreprise individuelle,198
Fournitures de bureau,12-08-2014,Grand public,1191
Mobilier,12-08-2014,Grand public,283
Produits technologiques,12-08-2014,Grand public,334
Fournitures de bureau,13-08-2014,Entreprise,256
Fournitures de bureau,13-08-2014,Entreprise individuelle,137
Fournitures de bureau,13-08-2014,Grand public,201
Mobilier,13-08-2014,Grand public,637
Produits technologiques,13-08-2014,Entreprise,353
Produits technologiques,13-08-2014,Grand public,2082
Fournitures de bureau,14-08-2014,Entreprise individuelle,170
Fournitures de bureau,14-08-2014,Grand public,807
Mobilier,14-08-2014,Grand public,1019
Produits technologiques,14-08-2014,Grand public,1107
Fournitures de bureau,15-08-2014,Entreprise,246
Fournitures de bureau,15-08-2014,Entreprise individuelle,277
Mobilier,15-08-2014,Entreprise,744
Mobilier,15-08-2014,Grand public,315
Fournitures de bureau,16-08-2014,Entreprise,449
Fournitures de bureau,16-08-2014,Entreprise individuelle,14
Fournitures de bureau,16-08-2014,Grand public,839
Mobilier,16-08-2014,Entreprise,2666
Mobilier,16-08-2014,Entreprise individuelle,1201
Mobilier,16-08-2014,Grand public,1471
Produits technologiques,16-08-2014,Entreprise,238
Fournitures de bureau,17-08-2014,Entreprise,322
Mobilier,17-08-2014,Entreprise,1251
Produits technologiques,17-08-2014,Entreprise,740
Fournitures de bureau,19-08-2014,Grand public,2759
Fournitures de bureau,20-08-2014,Entreprise,92
Fournitures de bureau,20-08-2014,Entreprise individuelle,107
Fournitures de bureau,20-08-2014,Grand public,1212
Mobilier,20-08-2014,Grand public,1108
Produits technologiques,20-08-2014,Entreprise individuelle,256
Fournitures de bureau,21-08-2014,Entreprise,275
Fournitures de bureau,21-08-2014,Entreprise individuelle,383
Fournitures de bureau,21-08-2014,Grand public,491
Mobilier,21-08-2014,Grand public,123
Produits technologiques,21-08-2014,Entreprise individuelle,470
Fournitures de bureau,22-08-2014,Entreprise individuelle,188
Fournitures de bureau,22-08-2014,Grand public,135
Produits technologiques,22-08-2014,Entreprise individuelle,459
Produits technologiques,22-08-2014,Grand public,506
Fournitures de bureau,23-08-2014,Entreprise,261
Fournitures de bureau,23-08-2014,Entreprise individuelle,77
Fournitures de bureau,23-08-2014,Grand public,1338
Mobilier,23-08-2014,Grand public,592
Produits technologiques,23-08-2014,Grand public,81
Fournitures de bureau,24-08-2014,Entreprise,70
Fournitures de bureau,24-08-2014,Entreprise individuelle,93
Fournitures de bureau,24-08-2014,Grand public,323
Mobilier,24-08-2014,Entreprise individuelle,524
Produits technologiques,24-08-2014,Entreprise individuelle,508
Produits technologiques,24-08-2014,Grand public,397
Fournitures de bureau,25-08-2014,Entreprise,226
Fournitures de bureau,25-08-2014,Grand public,124
Fournitures de bureau,26-08-2014,Grand public,202
Produits technologiques,26-08-2014,Grand public,342
Fournitures de bureau,27-08-2014,Entreprise,405
Fournitures de bureau,27-08-2014,Entreprise individuelle,344
Fournitures de bureau,27-08-2014,Grand public,420
Mobilier,27-08-2014,Entreprise,386
Mobilier,27-08-2014,Entreprise individuelle,1669
Mobilier,27-08-2014,Grand public,578
Produits technologiques,27-08-2014,Entreprise,820
Fournitures de bureau,28-08-2014,Entreprise,268
Fournitures de bureau,28-08-2014,Entreprise individuelle,597
Fournitures de bureau,28-08-2014,Grand public,628
Mobilier,28-08-2014,Entreprise,188
Mobilier,28-08-2014,Grand public,846
Produits technologiques,28-08-2014,Grand public,349
Fournitures de bureau,29-08-2014,Grand public,855
Mobilier,29-08-2014,Grand public,430
Produits technologiques,29-08-2014,Grand public,143
Fournitures de bureau,30-08-2014,Entreprise,480
Fournitures de bureau,30-08-2014,Entreprise individuelle,113
Fournitures de bureau,30-08-2014,Grand public,530
Mobilier,30-08-2014,Grand public,355
Produits technologiques,30-08-2014,Entreprise,277
Fournitures de bureau,31-08-2014,Entreprise,1817
Fournitures de bureau,31-08-2014,Grand public,30
Mobilier,31-08-2014,Entreprise,526
Produits technologiques,31-08-2014,Entreprise,1998
Produits technologiques,31-08-2014,Grand public,618
Fournitures de bureau,02-09-2014,Entreprise,42
Fournitures de bureau,02-09-2014,Entreprise individuelle,502
Fournitures de bureau,02-09-2014,Grand public,28
Mobilier,02-09-2014,Grand public,300
Produits technologiques,02-09-2014,Entreprise,612
Produits technologiques,02-09-2014,Entreprise individuelle,76
Fournitures de bureau,03-09-2014,Entreprise,19
Fournitures de bureau,03-09-2014,Entreprise individuelle,3415
Fournitures de bureau,03-09-2014,Grand public,254
Produits technologiques,03-09-2014,Grand public,99
Fournitures de bureau,04-09-2014,Entreprise,628
Fournitures de bureau,04-09-2014,Entreprise individuelle,53
Fournitures de bureau,04-09-2014,Grand public,95
Mobilier,04-09-2014,Entreprise individuelle,793
Mobilier,04-09-2014,Grand public,734
Produits technologiques,04-09-2014,Grand public,676
Fournitures de bureau,05-09-2014,Entreprise,246
Fournitures de bureau,05-09-2014,Grand public,1904
Mobilier,05-09-2014,Grand public,1661
Produits technologiques,05-09-2014,Entreprise,2431
Produits technologiques,05-09-2014,Grand public,1247
Fournitures de bureau,06-09-2014,Entreprise,129
Fournitures de bureau,06-09-2014,Grand public,185
Produits technologiques,06-09-2014,Grand public,1282
Fournitures de bureau,07-09-2014,Grand public,204
Mobilier,07-09-2014,Grand public,34
Produits technologiques,07-09-2014,Grand public,176
Fournitures de bureau,09-09-2014,Entreprise,1624
Fournitures de bureau,09-09-2014,Entreprise individuelle,309
Fournitures de bureau,09-09-2014,Grand public,2310
Mobilier,09-09-2014,Entreprise,489
Mobilier,09-09-2014,Entreprise individuelle,37
Produits technologiques,09-09-2014,Entreprise individuelle,139
Fournitures de bureau,10-09-2014,Entreprise individuelle,102
Fournitures de bureau,10-09-2014,Grand public,634
Mobilier,10-09-2014,Entreprise individuelle,276
Mobilier,10-09-2014,Grand public,3844
Produits technologiques,10-09-2014,Entreprise individuelle,201
Produits technologiques,10-09-2014,Grand public,1451
Fournitures de bureau,11-09-2014,Entreprise,322
Fournitures de bureau,11-09-2014,Grand public,51
Mobilier,11-09-2014,Entreprise,164
Fournitures de bureau,12-09-2014,Entreprise,1077
Fournitures de bureau,12-09-2014,Grand public,34
Mobilier,12-09-2014,Entreprise,1919
Mobilier,12-09-2014,Entreprise individuelle,370
